"Now Shopping by","Comprar por"
"Popup Blocker is enabled! Please add this site to your exception list.","O Bloqueador de Pop-up está ativo! Por favor adicione este site à sua lista de exceções."
"Allow","Permitir"
"Done","Concluído"
"System Extensions","System Extensions"
"System Integrations","System Integrations"
"Extensions","Extensões"
"OAuth","OAuth"
"Access Token Expiration","Expiração do Token de Acesso"
"Customer Token Lifetime (hours)","Tempo de Vida do Token do Cliente (horas)"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Admin Token Lifetime (hours)","Tempo de Vida do Token do Admin (horas)"
"Cleanup Settings","Configurações de limpeza"
"Cleanup Probability","Probabilidade de limpeza"
"Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup","Integer. Launch cleanup in X OAuth requests. 0 (not recommended) - to disable cleanup"
"Expiration Period","Período de validade"
"Cleanup entries older than X minutes.","Cleanup entries older than X minutes."
"Consumer Settings","Definições do Consumidor"
"Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts.","Consumer key/secret will expire if not used within X seconds after Oauth token exchange starts."
"OAuth consumer credentials HTTP Post maxredirects","Maxredirects de pedidos HTTP Post com as credenciais do consumidor OAuth"
"Number of maximum redirects for OAuth consumer credentials Post request.","Number of maximum redirects for OAuth consumer credentials Post request."
"OAuth consumer credentials HTTP Post timeout","Timeout dos pedidos HTTP Post com as credenciais do consumidor OAuth"
"Timeout for OAuth consumer credentials Post request within X seconds.","Timeout for OAuth consumer credentials Post request within X seconds."
"Authentication Locks","Travas de Autenticação"
"Maximum Login Failures to Lock Out Account","Máximo de Falhas de Login em Conta Bloqueada"
"Maximum Number of authentication failures to lock out account.","Maximum Number of authentication failures to lock out account."
"Lockout Time (seconds)","Tempo de Bloqueio (segundos)"
"Period of time in seconds after which account will be unlocked.","Period of time in seconds after which account will be unlocked."
"Integrations Configuration","Configuração de Integrações"
"Integration configuration file","Arquivo de configuração de integração"
"Integrations API Configuration","Configuração de integração de API"
"Integrations API configuration file","Arquivo de configuração da API de integrações"
"We couldn't find any records.","Não encontramos nenhum registro."
"Status","Situação"
"Delete","Deletar"
"My Requisition Lists","Minha lista de requisições"
"The SKU was not found in the catalog.","O SKU não foi encontrado no catálogo."
"We couldn't find the requested requisition list.","We couldn't find the requested requisition list."
"We can't update your requisition list right now.","Nós não podemos atualizar sua lista de requisições neste momento."
"We can't add the item to the Requisition List right now: %1.","Nós não podemos adicionar o item na lista de requisição: %1."
"We couldn't find the product you requested to add to your requisition list.","We couldn't find the product you requested to add to your requisition list."
"You added %1 item(s) to your shopping cart.","Você adicionou %1 item(s) no seu carrinho de compras."
"Something went wrong.","Algo deu errado."
"Invalid request, missing parameter list_id","Invalid request, missing parameter list_id"
"Invalid request, please try again.","Invalid request, please try again."
"Product with requested SKU could not be found.","Product with requested SKU could not be found."
"The product","Produto"
"%1 could not be added to the ""%2"" requisition list.","%1 could not be added to the ""%2"" requisition list."
"%1 could not be added to the requisition list.","%1 could not be added to the requisition list."
"We can't configure the product right now.","Não podemos configurar o produto agora."
"%1 item(s) were copied to %2","%1 item(s) foram copiado(s) para %2"
"%1 item(s) were added to the ""%2""","%1 item(s) foram adicionados para ""%2"""
"%1 item(s) were moved to %2","%1 item(s) foram movidos para %2"
"The requisition list does not exist.","A lista de requisições não existe."
"All items in your Shopping Cart could not be added to the ""%1"" requisition list.","All items in your Shopping Cart could not be added to the ""%1"" requisition list."
"One or more products in your Shopping Cart is invalid.","One or more products in your Shopping Cart is invalid."
"Requisition Lists","Lista de requisições"
"Requisition List","Lista de requisições"
"Invalid item option format.","Opção de formato de item inválida."
"An item option with code %1 already exists.","Uma opção de item com o código %1 já existe."
"Could not save Requisition List","Não foi possível salvar a lista de requisições"
"Cannot delete Requisition List with id %1","Não foi possível deletar a lista de requisições com o id %1"
"Requested product doesn't exist","Requested product doesn't exist"
"Cannot specify product.","Não é possível especificar o produto."
"%1 has been updated in your requisition list.","%1 foi atualizado na sua lista de requisições."
"Product %1 has been added to the requisition list %2.","O produto %1 foi adicionado a lista de requisições %2."
"Options were updated. Please review available configurations.","As opções foram atualizadas. Por favor revise todas as configurações disponíveis."
"The SKU is out of stock.","O SKU está fora de estoque."
"The requested qty is not available","The requested qty is not available"
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","Não foi possível salvar a lista de requisições. O número máximo de requisições foi excedido."
"Could not save requisition list. Invalid data provided","Could not save requisition list. Invalid data provided"
"Exception","Exceção"
"exception","exceção"
"Warning message.","Mensagem de aviso."
"No such requisition list could be found.","Não foi possível encontrar essa lista de requisições."
"Not found","Não encontrado"
"No such entity","Entidade não encontrada"
"Could not save","Não foi possível salvar"
"Exception Message","Mensagem de exceção"
"View","Visualizar"
"px.","px."
"Add to Requisition List","Adicionar a lista de requisições"
"Add Shopping Cart to Requisition List","Add Shopping Cart to Requisition List"
"Update Requisition List","Atualizar a lista de requisições"
"Create Requisition List","Criar a lista de requisições"
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list."
"<a href=""%1"" target=""_blank""><span>%2</span></a>","<a href=""%1"" target=""_blank""><span>%2</span></a>"
"All the items in your Shopping Cart have been added to the ""%1"" requisition list.","All the items in your Shopping Cart have been added to the ""%1"" requisition list."
"Create New Requisition List","Criar uma nova lista de requisições"
"Export","Exportar"
"Print","Imprimir"
"Rename","Renomear"
"Rename Requisition List","Renomear a lista de requisições"
"items","itens"
"item","artigo"
"in requisition list","na lista de requisições"
"Contact Us","Fale Conosco"
"Add to Cart","Adicionar ao Carrinho"
"Update List","Atualizar lista"
"Delete Requisition List","Apagar lista de requisições"
"You have no items in this requisition list.","Você não possui items na sua lista de requisições."
"Product Name","Nome do produto"
"Item","Item"
"Price","Preço"
"Qty","Qtd"
"Subtotal","Sub-total"
"Product","Produto"
"SKU","Código de Produto:"
"Excl. Tax","Excl. Impostos"
"Edit item","Editar item"
"Remove item","Remover item"
"Select all","Selecionar tudo"
"With Selected","Com os selecionados"
"Copy Selected","Copiar selecionados"
"Copy","Copiar"
"Move Selected","Mover selecionados"
"Move","Mover"
"Remove Selected","Remover selecionados"
"Remove","Remover"
"Are you sure you would like to remove selected items from the requisition list?","Are you sure you would like to remove selected items from the requisition list?"
"Delete","Excluir"
"product(s) require your attention","produto(s) requerem sua atenção"
"Requisition List Name","Lista de requisições"
"Description","Descrição"
"The shopping cart isn't empty","O seu carrinho de compras está vazio"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Você possui itens no seu carrinho de compras. Você gostaria de mesclar os itens deste pedido com os itens do seu carrinho, ou substituí-los?"
"Select Cancel to stay on the current page.","Selecionar Cancelar para permanecer na mesma página."
"Merge","Mesclar"
"Replace","Substituir"
"Cancel","Cancelar"
"Add item to requisition list","Add item to requisition list"
"The item ""%1"" is already in the ""%2"" requisition list.","The item ""%1"" is already in the ""%2"" requisition list."
"Quantities for identical items will be combined.","Quantities for identical items will be combined."
"Add item","Adicionar Item"
"Error","Erro"
"Add items to requisition list","Adicionar itens à lista de requisições"
"Some items in your Shopping Cart are already in the %1 requisition list.","Some items in your Shopping Cart are already in the %1 requisition list."
"Add items","Adicionar itens"
"Ok","Ok"
"Cannot Perform the Requested Action","Não foi possível executar esta ação"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","Esta ação não pode ser executada porque o(s) produto(s) selecionado(s) requerem atenção. Você deve resolver estes problemas antes de proceder."
"Please Select Product","Por favor, selecione um produto"
"Please select at least one product to proceed.","Por favor, selecione ao menos um produto para prosseguir."
"Save","Salvar"
"Requisition List Section","Seção Lista de requisições"
"Enable Requisition List","Habilitar lista de requisições"
"General","Geral"
"Number of Requisition Lists","Número de lista de requisições"
"The number of requisition lists should be equal or more than 2.","O número de requisições deve ser igual ou maior que 2."
"Name & Description","Nome & Descrição"
"Items","Itens"
"Latest Activity","Última atividade"
"We cannot retrieve the payment method model object.","Não foi possível recuperar o objeto de modelo do método de pagamento."
"Month","Mês"
"Year","Ano"
"We cannot retrieve the payment info model object.","Não foi possível recuperar o objeto de info do método de pagamento."
"N/A","Não Disponível"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Switch/Solo/Maestro Issue Number","Número de emissão Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data de início Maestro/Switch/Solo"
"We cannot retrieve the transparent payment method model object.","Não foi possível recuperar o objeto de modelo do método de pagamento transparente."
"The ""%1"" command executor isn't defined. Verify the executor and try again.","The ""%1"" command executor isn't defined. Verify the executor and try again."
"The ""%1"" command doesn't exist. Verify the command and try again.","The ""%1"" command doesn't exist. Verify the command and try again."
"Transaction has been declined. Please try again later.","A Transação foi recusada. Por favor tente novamente mais tarde."
"The gateway response format was incorrect. Verify the format and try again.","The gateway response format was incorrect. Verify the format and try again."
"The validator for the ""%1"" field doesn't exist.","The validator for the ""%1"" field doesn't exist."
"Discount","Desconto"
"Shipping","Frete"
"All Allowed Countries","Todos os países permitido"
"Specific Countries","Países específicos"
"The payment method you requested is not available.","O método de pagamento que você solicitou não está disponível."
"The payment disallows storing objects.","O pagamento não permite armazenar objetos."
"We cannot retrieve the payment method code.","Não foi possível recuperar o código do método de pagamento."
"We cannot retrieve the payment information object instance.","Não foi possível recuperar a instância de objeto de informações de pagamento."
"You can't use the payment type you selected to make payments to the billing country.","Você não pode usar o tipo de pagamento selecionado para fazer pagamentos para o faturamento em seu país."
"The order action is not available.","A ação de pedido não está disponível."
"The authorize action is not available.","A ação de autorização não está disponível."
"The capture action is not available.","A ação de captura não está disponível."
"The refund action is not available.","A ação de reembolso não está disponível."
"The void action is not available.","A ação de anular não está disponível."
"The payment review action is unavailable.","A ação de revisão de pagamento não está disponível."
"The credit card number doesn't match the credit card type.","O número de cartão de crédito não corresponde ao tipo de cartão de crédito."
"Invalid Credit Card Number","Número inválido de cartão de crédito"
"This credit card type is not allowed for this payment method.","O tipo de cartão de crédito não é permitido para esta forma de pagamento."
"Please enter a valid credit card verification number.","Por favor, insira um número de verificação de cartão de crédito válido."
"Please enter a valid credit card expiration date.","Por favor, introduza uma data de expiração do cartão de crédito válida."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 classe não implementa \Magento\Payment\Model\MethodInterface"
"Yes","Sim"
"No","Não"
"Please provide payment for the order.","Please provide payment for the order."
"Failure #1","Falha #1"
"Failure #2","Falha #2"
"Visa","Visa"
"American Express","American Express"
"Expiration Date","Data de Validade"
"Card Verification Number","Código de Verificação do Cartão"
"Payment method","Método de pagamento"
" is not available. You still can process offline actions."," não está disponível. Você ainda pode processar ações off-line."
"Please Select","Por Favor Selecione"
"We'll ask for your payment details before you place an order.","Nós vamos solicitar os dados de pagamento antes de efetuar o pedido."
"--Please Select--","-- Por favor, selecione --"
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"What is this?","O que é isto?"
"Credit Card Information","Informações do cartão de crédito"
"Place Order","Finalizar Pedido"
"Forgot an Item?","Esqueceu algum Item?"
"Edit Your Cart","Alterar o Carrinho"
"Please enter a valid credit card type number.","Por favor insira um número de tipo de cartão de crédito válido."
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Incorrect credit card expiration month.","Mês de validade do cartão de crédito incorreto."
"Incorrect credit card expiration year.","Ano de expiração do cartão de crédito inválido."
"Payment Methods Section","Secção de Métodos de Pagamento"
"Payment Services","Serviços de Pagamento"
"Payment Methods","Forma de pagamento"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Enabled","Habilitado"
"New Order Status","Status de Novo Pedido"
"Automatically Invoice All Items","Faturar automaticamente todos os itens"
"Sort Order","Ordem de classificação"
"Title","Título"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Save Currency Rates","Gravar Taxas de Câmbio"
"Options","Opções"
"Reset","Reiniciar"
"Import","Importar"
"Manage Currency Rates","Gerenciar taxas de moeda"
"Import Service","Serviço de importação"
"Save Currency Symbols","Salvar símbolos de moeda"
"Currency Symbols","Símbolos de moeda"
"Use Standard","Usar Padrão"
"The Import Service is incorrect. Verify the service and try again.","The Import Service is incorrect. Verify the service and try again."
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
"Click ""Save"" to apply the rates we found.","Clique em ""Gravar"" para aplicar as taxas disponíveis."
"Currency Rates","Taxas de Câmbio"
"Please correct the input data for ""%1 => %2"" rate.","Por favor, corrija os dados do campo %1 => taxa de %2."
"All valid rates have been saved.","Todos os preços válidos foram salvos."
"System","Sistema"
"You applied the custom currency symbols.","Você aplicou os símbolos de moedas personalizadas."
"You must first configure currency options before being able to see currency rates.","Primeiro, você deve configurar as opções de moeda antes de ser capaz de ver taxas de câmbio."
"Old rate:","Taxa antiga:"
"Currency","Moeda"
"File directory '%1' is not readable.","Diretório do arquivo '%1' não é legível."
"File directory '%1' is not writable.","Diretório do arquivo '%1' não é gravável."
"Error","Erro"
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"Catalog Advanced Search","Busca Avançada do Catálogo"
"All","Todos"
"Yes","Sim"
"No","Não"
"Results","Resultados"
"Advanced Search Results","Resultados da pesquisa avançada"
"Grid","Grade"
"List","Lista"
"Search Weight","Peso da Pesquisa"
"Relevance","Relevância"
"Search results for: '%1'","Resultados da busca por: '%1'"
"Minimum Search query length is %1","Tamanho mínimo para pesquisa é %1"
"Search term is empty","O termo de pesquisa está vazio"
"Enter a search term and try again.","Entre um termo de pesquisa e tente novamente."
"%1 and greater","%1 e maior"
"up to %1","até %1"
"Default product collection strategy not found","Estratégia padrão de coleta de produtos não encontrada"
"Category","Categoria"
"%1 and above","%1 e acima"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","Ocorreu um erro. Para mais detalhes, veja o log de erro."
"The bucket doesn't exist.","O balde não existe."
"Product","Produto"
"Disable Notice","Desativar aviso"
"Test Exception","Exceção de teste"
"Search Settings","Configurações de Pesquisa"
"Search","Pesquisa"
"Please enter a valid price range.","Por favor insira um intervalo de preço válido."
"Advanced Search","Pesquisa Avançada"
"<strong>%1 item</strong> were found using the following search criteria","<strong>item de%1</strong> foram encontrados utilizando os seguintes critérios de pesquisa"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 itens</strong> foram encontrados utilizando os seguintes critérios de pesquisa"
"We can't find any items matching these search criteria.","Não é possível encontrar itens correspondentes a estes critérios de pesquisa."
"Modify your search.","Modifique a sua pesquisa."
"name","nome"
"Don't see what you're looking for?","Não achou o que você está procurando?"
"Your search returned no results.","A sua pesquisa não retornou resultados."
"Catalog Section","Seção Catálogo"
"Catalog Search","Busca de Catálogo"
"Popular Search Terms","Pesquisas Populares"
"Minimal Query Length","Comprimento Mínimo da Pesquisa"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","Este valor deve ser compatível com a configuração correspondente no mecanismo de busca configurado. Esteja ciente: um limite de comprimento de consulta baixo pode causar impacto no desempenho."
"Maximum Query Length","Comprimento Máximo da Pesquisa"
"This value must be compatible with the corresponding setting in the configured search engine.","Este valor deve ser compatível com a configuração correspondente no mecanismo de busca configurado."
"Number of top search results to cache","Número de principais resultados de busca em cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Número de termos de pesquisa populares para serem armazenados em cache para resposta mais rápida. Use ""0"" armazenar no cache todos os resultados após um termo ser pesquisado pela segunda vez."
"Autocomplete Limit","Limite de Auto Completar"
"Enable EAV Indexer","Habilitar o indexador EAV"
"Rebuild Catalog product fulltext search index","Reconstruir o índice de pesquisa para texto do produto"
"""model"" value should be specified","O valor ""model"" deve ser especificado"
"Root","Raiz"
"Delete","Excluir"
"Are you sure you want to delete this category?","Você tem certeza que deseja excluir essa categoria?"
"Save","Salvar"
"Use Config Settings","Usar Configurações padrão"
"Use All Available Attributes","Usar todos os atributos disponíveis"
"ID","ID"
"Name","Nome"
"SKU","Código de Produto:"
"Visibility","Visibilidade"
"Status","Situação"
"Price","Preço"
"Position","Posição"
"Add Subcategory","Adicionar Subcategoria"
"Add Root Category","Adicionar Categoria Raiz"
"Day","Dia"
"Month","Mês"
"Year","Ano"
"from","de"
"to","para"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISÃO DE LOJA]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Adicionar produto"
"label","rótulo"
"Product Attributes","Atributos de Produto"
"Add New Attribute","Adicionar Novo Atributo"
"Cancel","Cancelar"
"Save Attribute","Salvar Atributo"
"Save in New Attribute Set","Salvar no novo atributo"
"Enter Name for New Attribute Set","Insira o Nome para o Novo Conjunto de Atributos"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Delete Attribute","Excluir Atributo"
"Edit Product Attribute ""%1""","Editar o atributo do produto ""%1"""
"New Product Attribute","Novo Atributo de Produto"
"Advanced Attribute Properties","Propriedades de Atributo Avançado"
"Attribute Code","Código do Atributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isso é usado internamente. Certifique-se de que você não use espaços ou mais de %1 símbolo(s)."
"Default Value","Valor Padrão"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)"
"Not shared with other products.","Não compartilhado com outros produtos."
"Input Validation for Store Owner","Campo de Validação para o dono da loja"
"Add to Column Options","Adicionar a coluna de opções"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selecione ""Sim"" para adicionar esse atributo para a lista de opções de coluna na grade de produto."
"Use in Filter Options","Uso em opções de filtro"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Selecione ""Sim"" para adicionar esse atributo para a lista de opções de filtro na grade de produto."
"Store View","Visão de Loja"
"Website","Website"
"Global","Todas as Lojas"
"Scope","Escopo"
"Declare attribute value saving scope.","Declarar o escopo do do armazenamento do valor do atributo."
"The default date is invalid.","Data padrão é inválida."
"Storefront Properties","Propriedades da Loja"
"Use in Search","Uso em Pesquisa"
"Visible in Advanced Search","Visível na pesquisa avançada"
"Comparable on Storefront","Comparável na Loja"
"Use for Promo Rule Conditions","Uso para condições de regra de Promoções"
"Allow HTML Tags on Storefront","Permitir Tags HTML na loja"
"Visible on Catalog Pages on Storefront","Visível nas páginas do catálogo da loja"
"Used in Product Listing","Usado na listagem de produtos"
"Depends on design theme.","Depende do design do tema."
"Used for Sorting in Product Listing","Usado para ordenação na listagem de produtos"
"Media Image","Mídia de Imagem"
"Gallery","Galeria"
"System Properties","Propriedades do sistema"
"No","Não"
"Yes","Sim"
"Data Type for Saving in Database","Tipo de dados para salvar no banco de dados"
"Text","Texto"
"Varchar","Varchar"
"Static","Estático"
"Datetime","Data e Hora"
"Decimal","Decimal"
"Integer","Inteiro"
"Globally Editable","Globalmente editável"
"Attribute Information","Informações de atributo"
"Properties","Propriedades"
"Manage Labels","Gerenciar rótulos"
"Visible","Visível"
"Web Site","Website"
"Searchable","Pesquisável"
"Comparable","Comparável"
"Delete Selected Group","Apagar Grupo Selecionado"
"Add New","Adicionar Novo"
"Back","Voltar"
"Reset","Reiniciar"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Você está prestes a remover todos os produtos neste conjunto de atributos. Tem a certeza que pretende fazer isto?"
"New Set Name","Novo Nome do Conjunto"
"Edit Attribute Set '%1'","Editar Conjunto de Atributos '%1'"
"Empty","Vazio"
"Add Attribute","Adicionar Atributo"
"Add New Group","Adicionar Novo Grupo"
"Add Group","Adicionar Grupo"
"For internal use","Para uso interno"
"Based On","Com Base Na"
"Edit Attribute Set Name","Editar Nome do Conjunto de Atributos"
"Attribute Set Information","Informações do Conjunto de Atributos"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add Attribute Set","Adicionar Conjunto de Atributos"
"Attribute Sets","Conjuntos de Atributo"
"Close Window","Fechar Janela"
"New Product","Novo Produto"
"Save & Edit","Salvar e Editar"
"Save & New","Salvar e Novo"
"Save & Duplicate","Salvar e Duplicar"
"Save & Close","Salvar e Fechar"
"Attributes","Atributos"
"Change","Alterar"
"Advanced Inventory","Estoque Avançado"
"Websites","Websites"
"Products Information","Informação de produtos"
"Create Category","Criar categoria"
"Category Name","Nome da Categoria"
"Parent Category","Categoria Mãe"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Se não houver nenhuma categoria pai personalizada, por favor use a categoria pai padrão. Você pode reatribuir a categoria a qualquer momento em <a href=""%1"" target=""_blank"">Produtos > Categorias</a>."
"Price Alert Subscriptions","Assinaturas de Alerta de Preço"
"Stock Alert Subscriptions","Assinaturas de Alerta de Estoque"
"There are no customers for this alert.","Não há clientes para esse alerta."
"First Name","Nome"
"Last Name","Sobrenome"
"Email","E-mail"
"Subscribe Date","Data de Assinatura"
"Last Notified","Última Notificação"
"Send Count","Total de Envios"
"New Attribute","Novo Atributo"
"Type","Tipo"
"Attribute Set","Conjuntos de Atributo"
"Add New Option","Adicionar Nova Opção"
"Import Options","Importar Opções"
"Use Default","Usar Padrão"
"Import","Importar"
"Add New Row","Adicionar Nova Linha"
"Delete Row","Remover Linha"
"Tier Pricing","Nível de Preços"
"Default Price","Preço Padrão"
"All Websites","Todos os sites"
"ALL GROUPS","TODOS OS GRUPOS"
"Add Price","Adicionar Preço"
"Default Values","Valor Padrão"
"Related Products","Produtos Relacionados"
"Up-sells","Venda Agregada"
"Cross-sells","Vendas cruzadas"
"Size for %1","Tamanho de %1"
"Watermark File for %1","Arquivo de marca d'água para %1"
"Position of Watermark for %1","Posição da marca d'água para %1"
"Name in %1","Nome em %1"
"Quantity","Quantidade"
"Edit","Editar"
"Are you sure?","Você tem certeza?"
"Change Status","Mudar Status"
"Update Attributes","Atualizar Atributos"
"start typing to search category","comece a digitar para pesquisar categoria"
"New Category","Adicionar categoria"
"Images (.gif, .jpg, .png)","Imagens (. gif,. jpg,. png)"
"Add New Images","Adicionar Nova Imagem"
"Inc. Tax","Inc. Impostos"
"Does this have a weight?","Este artigo tem um peso associado?"
"Product","Produto"
"Notify Low Stock RSS","Notificar baixo estoque via RSS"
"Low Stock Products","Produtos com estoque baixo"
"%1 has reached a quantity of %2.","%1 atingiu uma quantidade de %2."
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"Subscribe to RSS Feed","Assinar o RSS Feed"
"Products Comparison List","Lista de Comparação de Produtos"
"N/A","Não Disponível"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Selecione uma opção --"
"New Products from %1","Novos produtos de %1"
"New Products","Novos Produtos"
"%1 - Special Products","%1 - produtos especiais"
"Click for price","Clique para precificar"
"Special Expires On: %1","Especial expira em: %1"
"Price: %1","Preço: %1"
"Special Price: %1","Preço especial: %1"
"Special Products","Produtos especiais"
"Manage Catalog Categories","Gerenciar Catálogo de Categorias"
"Manage Categories","Gerenciar Categorias"
"You deleted the category.","Você excluiu a categoria."
"Something went wrong while trying to delete the category.","Algo deu errado ao tentar excluir a categoria."
"Categories","Categorias"
"Category is not available for requested store.","Categoria não está disponível para loja selecionada."
"There was a category move error.","Houve um erro na mudança de categoria."
"You moved the category.","A categoria foi movida."
"The ""%1"" attribute is required. Enter and try again.","O atributo ""%1"" é obrigatório. Informe-o e tente novamente."
"Something went wrong while saving the category.","Algo deu errado ao salvar a categoria."
"You saved the category.","Você salvou a categoria."
"Please select products for attributes update.","Por favor selecione os produtos para atualização de atributos."
"Please make sure to define SKU values for all processed products.","Por favor, certifique-se de definir valores SKU para todos os produtos processados."
"Message is added to queue","Mensagem adicionada à fila"
"Something went wrong while updating the product(s) attributes.","Algo deu errado ao atualizar os atributos do(s) produto(s)."
"Update attributes for ' . . ' selected products","Atualizar atributos para '. . ' produtos selecionados"
"Something went wrong while processing the request.","Problema ao processar a requisição/pedido."
"Unable to add attribute","Não é possível adicionar o atributo"
"Attributes were missing and must be specified.","Atributos estavam faltando e devem ser especificados."
"Catalog","Catálogo"
"Manage Product Attributes","Gerenciar os atributos do produto"
"We can't delete the attribute.","Não é possível excluir o atributo."
"You deleted the product attribute.","Você excluiu o atributo do produto."
"We can't find an attribute to delete.","Atributo não encontrado para exclusão."
"This attribute no longer exists.","Este atributo não existe mais."
"This attribute cannot be edited.","Esse atributo não pode ser editado."
"Edit Product Attribute","Editar atributo do produto"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","O atributo não pôde ser salvo devido a um erro. Verifique suas informações e tente novamente. Se o erro persistir, por favor tente novamente mais tarde."
"An attribute set named '%1' already exists.","Um atributo chamado '%1' já existe."
"Something went wrong while saving the attribute.","Problema ao salvar o atributo."
"We can't update the attribute.","Não é possível atualizar o atributo."
"You saved the product attribute.","Você salvou o atributo do produto."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","O atributo não pôde ser validado devido a um erro. Verifique suas informações e tente novamente. Se o erro persistir, por favor tente novamente mais tarde."
"Code (%1) is a reserved key and cannot be used as attribute code.","Código (%1) é uma chave reservada e não pode ser usado como código de atributo."
"An attribute with this code already exists.","Um atributo com esse código já existe."
"An attribute with the same code (%1) already exists.","Um atributo com o mesmo código (%1) já existe."
"The value of Admin must be unique. (%1)","O valor do Admin deve ser único. (%1)"
"The value of Admin scope can't be empty.","O valor do escopo Admin não pode ser vazio."
"You duplicated the product.","Você duplicou o produto."
"This product doesn't exist.","Este produto não existe."
"Invalid product id. Should be numeric value greater than 0","Id de produto inválido. O valor numérico deve ser maior que 0"
"Products","Produtos"
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"Something went wrong while saving this group.","Algo deu errado ao salvar este grupo."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"A total of %1 record(s) haven't been deleted. Please see server logs for more details.","Um total de %1 registro(s) não foi excluído. Por favor consulte os logs do servidor para mais detalhes."
"A total of %1 record(s) have been updated.","Um total de %1 registro(s) foram atualizados."
"Something went wrong while updating the product(s) status.","Algo deu errado ao atualizar o status do produto(s)."
"The product was unable to be saved. Please try again.","O produto não pôde ser salvo. Por favor, tente novamente."
"You saved the product.","Você salvou o produto."
"SKU for product %1 has been changed to %2.","SKU do produto %1 foi alterado para %2."
"The image cannot be removed as it has been assigned to the other image role","A imagem não pode ser removida visto que foi atribuída a outra função de imagem"
"The value of attribute(s) ""%1"" must be unique","O valor do(s) atributo(s) ""%1"" deve ser único"
"New Attribute Set","Novo Conjunto de Atributos"
"The attribute set has been removed.","O conjunto de atributos foi removido."
"We can't delete this set right now.","Não é possível excluir este conjunto agora."
"New Set","Novo Conjunto"
"Manage Product Sets","Gerenciar Conjuntos de Produtos"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"This attribute set no longer exists.","Este conjunto de atributos não existe mais."
"You saved the attribute set.","Conjunto de atributos salvo."
"Something went wrong while saving the attribute set.","Algum erro ocorreu ao salvar o conjunto de atributos."
"You cleared the comparison list.","Você limpou a lista de comparação."
"Something went wrong  clearing the comparison list.","Algo deu errado ao limpar a lista de comparação."
"You removed product %1 from the comparison list.","Você removeu o produto %1 da lista de comparação."
"1 item","1 item"
"%1 items","%1 itens"
"The specified Catalog media URL format is not supported.","O formato de URL de mídia do catálogo especificado não é suportado."
"Are you sure you want to remove this item from your Compare Products list?","Tem certeza que deseja remover todos os itens da sua lista de comparação de produtos?"
"Are you sure you want to remove all items from your Compare Products list?","Tem certeza que deseja remover todos os itens da sua lista de comparação de produtos?"
"Invalid attribute %1","Atributo inválido %1"
"Grid","Grade"
"List","Lista"
"All","Todos"
"Bad controller interface for showing product","Interface do controller inválida para visualizar o produto"
"Product is not loaded","Produto não está carregado"
